"Phnom Penh International Airport, Cambodia",Date,Time,Temperature (C),Dew Point (C),Humidity (%),Wind Direction,Wind Speed (km/h),Wind Gust (km/h),"Pressure (Inch, Hg)",Precipitation (Inch),Condition
"Phnom Penh International Airport, Cambodia",1/1/2019,0:00,26.11,18.89,65,N,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,0:30,25.00,18.89,69,N,11.27,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,1:00,25.00,18.89,69,N,12.87,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,1:30,25.00,20.00,74,N,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,2:00,25.00,20.00,74,NNW,12.87,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,2:30,25.00,18.89,69,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,3:00,25.00,18.89,69,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,3:30,23.89,18.89,73,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,4:00,23.89,18.89,73,NNW,12.87,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,4:30,23.89,18.89,73,NNW,11.27,0.00,29.88,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,5:00,22.78,18.89,78,NNW,11.27,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,5:30,22.78,18.89,78,NNW,9.66,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,6:00,22.78,18.89,78,NNW,8.05,0.00,29.91,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,6:30,22.78,18.89,78,N,12.87,0.00,29.94,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,7:00,22.78,17.78,73,N,16.09,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,7:30,23.89,17.78,69,N,19.31,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,8:00,23.89,17.78,69,N,19.31,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,8:30,22.78,18.89,78,NNE,20.92,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,9:00,23.89,17.78,69,NNE,20.92,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,9:30,25.00,17.78,65,N,16.09,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,10:00,25.00,17.78,65,N,22.53,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,10:30,25.00,17.78,65,NNE,24.14,0.00,29.97,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,11:00,26.11,17.78,61,NNE,22.53,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,11:30,26.11,17.78,61,NNE,20.92,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,12:00,27.22,17.78,58,NNE,20.92,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,12:30,27.22,17.78,58,NNE,19.31,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,13:00,27.22,17.78,58,NNE,22.53,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,13:30,27.22,17.78,58,NNE,22.53,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,14:00,27.22,18.89,61,NE,22.53,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,14:30,27.78,20.00,62,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,15:00,27.22,20.00,65,N,16.09,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,15:30,27.22,18.89,61,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,16:00,27.78,30.00,0,N,14.48,0.00,29.82,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,16:30,27.22,18.89,61,N,16.09,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,17:00,27.22,18.89,61,N,14.48,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,17:30,27.22,18.89,61,NNW,11.27,0.00,29.85,0,Fair
"Phnom Penh International Airport, Cambodia",1/1/2019,18:00,27.22,17.78,58,N,8.05,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,18:30,27.22,18.89,61,VAR,4.83,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,19:30,27.22,18.89,61,VAR,4.83,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,20:30,26.11,18.89,65,N,8.05,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,21:00,26.11,18.89,65,N,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,21:30,26.11,17.78,61,NNW,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,22:00,26.11,17.78,61,NNW,9.66,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,22:30,26.11,17.78,61,NNW,9.66,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,23:00,26.11,17.78,61,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/1/2019,23:30,26.11,17.78,61,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,0:00,26.11,17.78,61,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,0:30,15.00,17.78,0,NNW,11.27,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,1:00,25.00,17.78,65,NNW,9.66,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,2:00,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,2:30,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,3:00,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,3:30,25.00,17.78,65,,0.00,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,4:00,25.00,17.78,65,NNW,19.31,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,4:30,23.89,17.78,69,N,12.87,0.00,29.85,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,5:30,23.89,17.78,69,NNW,16.09,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,6:00,23.89,17.78,69,NNW,12.87,0.00,29.88,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,7:00,23.89,17.78,69,N,14.48,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,7:30,23.89,18.89,73,N,12.87,0.00,29.91,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,8:00,23.89,18.89,73,N,14.48,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,8:30,23.89,18.89,73,N,16.09,0.00,29.94,0,Partly Cloudy
"Phnom Penh International Airport, Cambodia",1/2/2019,9:00,25.00,17.78,65,N,19.31,0.00,29.94,0,Partly Cloudy
