Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions,
"Phnom Penh, Cambodia",01/01/2020,33,24,29.1,,33.4,0,,15,,5.9,30.2,50.81,Partially cloudy,
"Phnom Penh, Cambodia",01/02/2020,34,24,29,,39.6,0,,11.4,,6,28.3,57.73,Partially cloudy,
"Phnom Penh, Cambodia",01/03/2020,33,25,28.6,,34.6,0,,53,,6.1,32.9,60.4,Partially cloudy,
"Phnom Penh, Cambodia",01/04/2020,32,24,27.8,,33.5,0,,16.1,,5.9,39.5,57.02,Partially cloudy,
"Phnom Penh, Cambodia",01/05/2020,33,24,28,,33.4,0,,16.1,,5.9,25.7,54.01,Partially cloudy,
"Phnom Penh, Cambodia",01/06/2020,33,23,27.8,,34,0,,10.3,,5.9,22.5,56.22,Clear,
"Phnom Penh, Cambodia",01/07/2020,33,24,28.2,,35.2,0,,5.8,,5.9,30.8,58.52,Partially cloudy,
"Phnom Penh, Cambodia",01/08/2020,33,26,29.7,,37,0,,8.1,,5.6,50,63.76,Partially cloudy,
"Phnom Penh, Cambodia",01/09/2020,35,77,29.8,,36.2,0,,8.1,,6,31,57.24,Partially cloudy,
"Phnom Penh, Cambodia",01/10/2020,35,26,29.9,,37.3,0,,9.2,,5.9,28,60.32,Partially cloudy,
"Phnom Penh, Cambodia",01/11/2020,33,24.9,28.1,,37,0,,9.2,,5.9,36.4,72.2,Partially cloudy,
"Phnom Penh, Cambodia",01/12/2020,32,24,27.8,,35.7,0,,9.2,,5.8,39.1,72.77,Partially cloudy,
"Phnom Penh, Cambodia",01/13/2020,34,24,28.4,,33,0,,13.9,,6,29.9,61.62,Partially cloudy,
"Phnom Penh, Cambodia",01/14/2020,33,23.9,28.1,,33,0,,9.2,,5.8,24.5,60.33,Clear,
"Phnom Penh, Cambodia",01/15/2020,32,23,27.3,,34.1,0,,6.9,,5.9,22.5,65.94,Clear,
"Phnom Penh, Cambodia",01/16/2020,33,23,28,,34.6,0,,8.1,,5.5,39.5,63.42,Partially cloudy,
"Phnom Penh, Cambodia",01/17/2020,34,24,28.8,,36.5,0,,8.1,,5.5,26.5,65.81,Partially cloudy,
"Phnom Penh, Cambodia",01/18/2020,33,25,28.6,,36.1,0,,5.8,,5.3,24.3,68.58,Clear,
"Phnom Penh, Cambodia",01/19/2020,32,24,28.1,,35.7,0,,6.9,,5.9,15.7,66.53,Clear,
